GZ1_OBJID,DR10_RELEASE,DR10_BRICKID,DR10_OBJID,LABEL
587722952230633836,10000,328437,2933,ANTICLOCKWISE
587722952230961739,10000,328440,8412,ANTICLOCKWISE
587722952232599938,10000,328455,1767,CLOCKWISE
587722952232796713,10000,328457,461,CLOCKWISE
587722952234893755,10000,328475,7851,ANTICLOCKWISE
587722952235614861,10000,328482,7023,ANTICLOCKWISE
587722952235942646,10000,328485,7338,ANTICLOCKWISE
587722952768749621,10000,329888,2869,ANTICLOCKWISE
587722952769471050,10000,329895,2600,ANTICLOCKWISE
587722952769995436,10000,331340,3145,ANTICLOCKWISE
587722952770060545,10000,331340,8910,ANTICLOCKWISE
587722952771896174,10000,329917,6547,CLOCKWISE
587722953304113241,10000,334195,170,CLOCKWISE
587722953305752227,10000,332769,6288,CLOCKWISE
587722953306341865,10000,332775,5491,ANTICLOCKWISE
587722953306800665,10000,334219,8376,ANTICLOCKWISE
587722953307456154,10000,332785,4583,ANTICLOCKWISE
587722953307521698,10000,332786,2393,ANTICLOCKWISE
587722953307586974,10000,332786,5286,CLOCKWISE
587722953307587064,10000,332786,6288,CLOCKWISE
587722953307587125,10000,332786,7076,ANTICLOCKWISE
587722953308570202,10000,332795,3878,CLOCKWISE
587722953309422268,10000,332803,4590,CLOCKWISE
587722981736120349,10000,325291,4588,ANTICLOCKWISE
587722981737824470,10000,323867,4474,ANTICLOCKWISE
587722981738938534,10000,323877,3416,ANTICLOCKWISE
587722981740118065,10000,325328,3914,ANTICLOCKWISE
587722981740249207,10000,325329,3532,ANTICLOCKWISE
587722981742149718,10000,323906,5299,ANTICLOCKWISE
587722981743198327,10000,325356,3579,CLOCKWISE
587722981743198342,10000,323916,4377,CLOCKWISE
587722981745098876,10000,325373,13760,CLOCKWISE
587722981745492114,10000,323937,5277,CLOCKWISE
587722981746409653,10000,323945,10815,ANTICLOCKWISE
587722981747916983,10000,325399,3617,CLOCKWISE
587722981749817551,10000,325417,307,CLOCKWISE
587722981750276247,10000,323980,16592,ANTICLOCKWISE
587722981750276282,10000,325421,894,CLOCKWISE
587722981752897881,10000,325444,6137,ANTICLOCKWISE
587722982270304366,10000,326707,1774,ANTICLOCKWISE
587722982270959742,10000,326713,2945,CLOCKWISE
587722982272532664,10000,326727,4988,CLOCKWISE
587722982275154175,10000,326751,4609,CLOCKWISE
587722982281904263,10000,326813,5431,CLOCKWISE
