brickname,brickid,coverage_class_exact_indicator
0001m395,120296,required
0001m397,119186,required
0001m400,118080,required
0001m402,116978,required
0001m405,115880,required
0001m407,114786,required
0001m410,113696,required
0001m412,112610,required
0001m415,111528,required
0001m417,110450,required
0001m420,109376,required
0001m422,108306,required
0001m425,107242,required
0001m427,106182,required
0001m430,105126,required
0001m432,104074,required
0001m435,103026,required
0001m437,101982,required
0001m440,100942,required
0001m442,99908,required
0001m445,98878,required
0001m447,97852,required
0001m450,96830,required
0001m457,93792,required
0001m460,92788,required
0001m462,91788,required
0001m465,90794,required
0001m467,89804,required
0001m470,88818,required
0001m472,87838,required
0001m475,86862,required
0001m477,85890,required
0001m480,84924,required
0001m482,83962,required
0001m485,83004,required
0001m487,82052,required
0001m490,81104,required
0001m492,80160,required
0001m495,79222,required
0001m497,78288,required
0001m500,77358,required
0001m507,74600,required
0001m510,73690,required
0001m512,72786,required
0002m515,71886,required
0002m517,70992,required
0002m520,70102,required
0002m522,69216,required
0002m525,68336,required
0002m527,67460,required
0002m532,65724,required
0002m535,64864,required
0002m537,64008,required
0002m540,63158,required
0002m542,62314,required
0002m545,61474,required
0002m547,60640,required
0002m552,58986,required
0002m555,58166,required
0002m557,57352,required
0002m560,56544,required
0002m562,55740,required
0002m565,54942,required
0002m567,54148,required
0002m570,53360,required
0002m572,52578,required
0002m575,51800,required
0002m577,51028,required
0002m580,50262,required
0002m582,49500,required
0002m585,48744,required
0002m587,47994,required
0002m590,47248,required
0002m592,46508,required
0002m595,45774,required
0002m597,45044,required
0002m600,44320,required
0002m602,43602,required
0002m605,42890,required
0002m607,42182,required
0002m610,41480,required
0002m612,40784,required
0002m615,40094,required
0002m617,39408,required
0002m620,38728,required
0002m622,38054,required
0002m625,37386,required
0002m627,36722,required
0002m630,36064,required
0002m632,35412,required
0002m635,34766,required
0002m637,34126,required
0002m640,33490,required
0002m642,32860,required
0002m645,32236,required
0002m650,31006,required
0002m655,29798,required
0003m657,29202,required
0003m662,28028,required
0003m665,27450,required
0003m667,26878,required
0003m670,26312,required
0003m672,25752,required
0003m675,25198,required
0003m677,24648,required
0003m680,24104,required
0003m682,23566,required
0003m685,23034,required
0003m687,22508,required
0003m690,21988,required
0003m692,21474,required
0003m695,20966,required
0003m697,20464,required
0003m700,19968,required
0003m702,19478,required
0003m705,18994,required
0003m707,18516,required
0003m710,18044,required
0003m712,17578,required
0003m717,16664,required
0004m392,121411,required
0004m395,120297,required
0004m397,119187,required
0004m400,118081,required
0004m402,116979,required
0004m405,115881,required
0004m407,114787,required
0004m410,113697,required
0004m412,112611,required
0004m415,111529,required
0004m720,16216,required
0004m722,15774,required
0004m725,15336,required
0004m730,14478,required
0004m732,14058,required
0004m735,13646,required
0004m737,13240,required
0004m742,12446,required
0004m745,12058,required
0004m747,11676,required
0004m750,11300,required
0004m752,10930,required
0005m417,110451,required
0005m420,109377,required
0005m422,108307,required
0005m425,107243,required
0005m427,106183,required
0005m430,105127,required
0005m432,104075,required
0005m435,103027,required
0005m437,101983,required
0005m440,100943,required
0005m442,99909,required
0005m445,98879,required
0005m447,97853,required
0005m450,96831,required
0005m455,94801,required
0005m457,93793,required
0005m460,92789,required
0005m462,91789,required
0005m465,90795,required
0005m467,89805,required
0005m470,88819,required
0005m472,87839,required
0005m475,86863,required
0005m477,85891,required
0005m480,84925,required
0005m482,83963,required
0005m485,83005,required
0005m487,82053,required
0005m490,81105,required
0005m492,80161,required
0005m495,79223,required
0005m497,78289,required
0005m500,77359,required
0005m505,75515,required
0005m507,74601,required
0005m510,73691,required
0005m512,72787,required
0005m757,10208,required
0005m760,9856,required
0005m762,9510,required
0005m765,9170,required
0005m767,8836,required
0005m770,8508,required
0005m772,8186,required
0005m775,7870,required
0005m777,7560,required
0005m780,7256,required
0006m515,71887,required
0006m517,70993,required
0006m520,70103,required
0006m522,69217,required
0006m525,68337,required
0006m527,67461,required
0006m530,66591,required
0006m532,65725,required
0006m535,64865,required
0006m537,64009,required
0006m540,63159,required
0006m542,62315,required
0006m545,61475,required
0006m547,60641,required
0006m550,59811,required
0006m552,58987,required
0006m555,58167,required
0006m557,57353,required
0006m560,56545,required
0006m562,55741,required
0006m565,54943,required
0006m567,54149,required
0006m570,53361,required
0006m572,52579,required
0006m575,51801,required
0006m782,6958,required
0006m785,6666,required
0006m787,6380,required
0006m790,6102,required
0006m792,5830,required
0006m795,5564,required
0006m797,5304,required
0007m582,49501,required
0007m590,47249,required
0007m592,46509,required
0007m595,45775,required
0007m597,45045,required
0007m600,44321,required
0007m602,43603,required
0007m605,42891,required
0007m607,42183,required
0007m610,41481,required
0007m612,40785,required
0007m617,39409,required
0007m620,38729,required
0007m800,5050,required
0007m802,4802,required
0007m805,4560,required
0007m807,4324,required
0007m810,4094,required
0008m395,120298,required
0008m397,119188,required
